"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"1253","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","3S3A","animals","2","0","1","0","1"
"969","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","3S3A","animals","2","1","0","1","1"
"1852","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","3S3A","animals","2","2","2","1","1"
"748","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","3S3A","animals","2","3","0","1","1"
"796","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","3S3A","animals","2","0","1","0","1"
"796","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","3S3A","animals","2","1","2","1","1"
"562","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","6","2","setsize","3S3A","animals","2","2","0","1","1"
"468","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","7","2","setsize","3S3A","animals","2","3","0","1","1"
"345","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","8","2","setsize","3S3A","animals","2","4","2","1","1"
"424","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","9","3","setsize","3S3A","animals","2","5","0","1","1"
"522","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","10","3","setsize","3S3A","animals","2","6","2","1","1"
"463","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","11","3","setsize","3S3A","animals","2","7","0","1","1"
"208","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","12","4","setsize","3S3A","animals","2","8","0","1","1"
"515","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","13","4","setsize","3S3A","animals","2","9","0","1","1"
"525","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","14","4","setsize","3S3A","animals","2","10","2","1","1"
"413","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","15","5","setsize","3S3A","animals","2","11","0","1","1"
"596","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","16","5","setsize","3S3A","animals","2","12","0","1","1"
"389","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","17","5","setsize","3S3A","animals","2","13","2","1","1"
"602","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","18","6","setsize","3S3A","animals","2","14","2","1","1"
"432","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","19","6","setsize","3S3A","animals","2","15","0","1","1"
"419","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","20","6","setsize","3S3A","animals","2","16","0","1","1"
"496","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","21","7","setsize","3S3A","animals","2","17","0","1","1"
"324","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","22","7","setsize","3S3A","animals","2","18","2","1","1"
"457","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","23","7","setsize","3S3A","animals","2","19","0","1","1"
"383","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","24","8","setsize","3S3A","animals","2","0","2","0","1"
"561","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","25","8","setsize","3S3A","animals","2","1","0","1","1"
"375","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","26","8","setsize","3S3A","animals","2","2","2","1","1"
"417","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","27","9","setsize","3S3A","animals","2","3","0","1","1"
"430","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","28","9","setsize","3S3A","animals","2","4","0","1","1"
"484","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","29","9","setsize","3S3A","animals","2","5","2","1","1"
"503","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","30","10","setsize","3S3A","animals","2","6","0","1","1"
"531","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","31","10","setsize","3S3A","animals","2","7","0","1","1"
"635","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","32","10","setsize","3S3A","animals","2","8","2","1","1"
"484","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","33","11","setsize","3S3A","animals","2","9","0","1","1"
"485","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","34","11","setsize","3S3A","animals","2","10","2","1","1"
"476","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","35","11","setsize","3S3A","animals","2","11","0","1","1"
"301","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","36","12","setsize","3S3A","animals","2","12","0","1","1"
"519","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","37","12","setsize","3S3A","animals","2","13","2","1","1"
"445","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","38","12","setsize","3S3A","animals","2","14","0","1","1"
"598","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","39","13","setsize","3S3A","animals","2","15","2","1","1"
"455","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","40","13","setsize","3S3A","animals","2","16","0","1","1"
"330","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","41","13","setsize","3S3A","animals","2","17","0","1","1"
"413","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","42","14","setsize","3S3A","animals","2","18","0","1","1"
"976","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","43","14","setsize","3S3A","animals","2","19","2","1","1"
"null","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","44","14","setsize","3S3A","animals","2","0","999","0","1"
"null","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","45","15","setsize","3S3A","animals","2","0","999","0","1"
"467","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","46","15","setsize","3S3A","animals","2","0","2","0","1"
