"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"705","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","34","5","setsizechunk","6S","sports","2","1","0","1","4","",""
"1022","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","35","5","setsizechunk","6S","sports","2","0","2","0","4","",""
"1045","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","36","6","setsizechunk","6S","sports","2","0","1","0","4","",""
"1389","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","37","6","setsizechunk","6S","sports","2","1","2","1","4","",""
"1574","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","38","6","setsizechunk","6S","sports","2","0","0","0","4","",""
"750","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","39","6","setsizechunk","6S","sports","2","1","1","1","4","",""
"1241","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","40","6","setsizechunk","6S","sports","2","0","2","0","4","",""
"610","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","41","6","setsizechunk","6S","sports","2","1","0","1","4","",""
"1264","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","42","7","setsizechunk","6S","sports","2","0","1","0","4","",""
"671","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","43","7","setsizechunk","6S","sports","2","0","0","0","4","",""
"819","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","44","7","setsizechunk","6S","sports","2","1","0","1","4","",""
"563","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","45","7","setsizechunk","6S","sports","2","2","0","1","4","",""
"424","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","46","7","setsizechunk","6S","sports","2","3","1","1","4","",""
"1290","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","47","7","setsizechunk","6S","sports","2","4","2","1","4","",""
"548","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","48","8","setsizechunk","6S","sports","2","5","2","1","4","",""
"1665","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","49","8","setsizechunk","6S","sports","2","6","2","1","4","",""
"469","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","50","8","setsizechunk","6S","sports","2","0","2","0","4","",""
"1040","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","51","8","setsizechunk","6S","sports","2","1","1","1","4","",""
"819","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","52","8","setsizechunk","6S","sports","2","2","0","1","4","",""
"1521","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","53","8","setsizechunk","6S","sports","2","0","2","0","4","",""
"1377","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","54","9","setsizechunk","6S","sports","2","0","1","0","4","",""
"697","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","55","9","setsizechunk","6S","sports","2","0","0","0","4","",""
"1212","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","56","9","setsizechunk","6S","sports","2","1","2","1","4","",""
"954","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","57","9","setsizechunk","6S","sports","2","2","0","1","4","",""
"527","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","58","9","setsizechunk","6S","sports","2","3","0","1","4","",""
"425","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","59","9","setsizechunk","6S","sports","2","4","1","1","4","",""
"842","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","60","10","setsizechunk","6S","sports","2","5","0","1","4","",""
"1280","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","61","10","setsizechunk","6S","sports","2","0","1","0","4","",""
"636","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","62","10","setsizechunk","6S","sports","2","1","1","1","4","",""
"1007","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","63","10","setsizechunk","6S","sports","2","0","0","0","4","",""
"725","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","64","10","setsizechunk","6S","sports","2","1","0","1","4","",""
"677","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","65","10","setsizechunk","6S","sports","2","2","2","1","4","",""
"676","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","66","11","setsizechunk","6S","sports","2","3","1","1","4","",""
"894","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","67","11","setsizechunk","6S","sports","2","4","0","1","4","",""
"673","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","68","11","setsizechunk","6S","sports","2","5","0","1","4","",""
"539","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","69","11","setsizechunk","6S","sports","2","6","2","1","4","",""
"565","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","70","11","setsizechunk","6S","sports","2","0","2","0","4","",""
"878","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","71","11","setsizechunk","6S","sports","2","1","2","1","4","",""
